symbol,date,entered,return_pct,ret_30m,full_return,entry_price,exit_price,exit_reason
BEL,2023-03-31 00:00:00,False,0.0,3.607427055702924,-0.15360983102919168,,,no_pullback
IFCI,2023-03-31 00:00:00,True,-1.61,3.589743589743586,-2.4752475247524752,9.95,9.8,trailing_stop
GRAPHITE,2023-04-03 00:00:00,True,0.45,5.940219447597422,-1.4285714285714286,276.4,277.93,trailing_stop
DATAPATTNS,2023-04-03 00:00:00,True,-0.57,3.818201540297226,-0.6025145404520663,1431.5,1424.7,close_1515
BSE,2023-04-03 00:00:00,False,0.0,3.793103448275862,-0.33222591362126247,,,no_pullback
ELGIEQUIP,2023-04-05 00:00:00,True,-0.21,7.227940326124667,0.3666954270923185,462.1,461.58,trailing_stop
KPITTECH,2023-04-05 00:00:00,True,2.11,6.260948549925388,-0.5739406520942645,807.65,825.55,trailing_stop
NYKAA,2023-04-05 00:00:00,True,2.67,4.29855412270417,2.2105657549644193,132.35,136.02,trailing_stop
USHAMART,2023-04-06 00:00:00,True,-0.79,4.032258064516129,-0.5980066445182699,223.9,222.36,trailing_stop
MAHABANK,2023-04-06 00:00:00,True,-1.35,2.7290448343080036,-0.7590132827324586,26.15,25.82,trailing_stop
INDIANB,2023-04-06 00:00:00,True,-0.68,2.463665366891169,-2.646600934094459,284.6,282.95,close_1515
ATGL,2023-04-10 00:00:00,False,0.0,4.2270531400966185,0.0,,,no_pullback
GODREJPROP,2023-04-10 00:00:00,False,0.0,3.418803418803419,1.0371900826446243,,,no_pullback
CREDITACC,2023-04-10 00:00:00,True,-1.96,2.9357798165137567,-5.228758169934636,993.6,975.15,trailing_stop
ELECON,2023-04-11 00:00:00,True,2.85,3.697270471464014,4.331179708064136,209.7,215.9,close_1515
DATAPATTNS,2023-04-11 00:00:00,False,0.0,3.5972194101370016,2.0846905537459284,,,no_pullback
TRIDENT,2023-04-11 00:00:00,True,-1.33,3.3557046979865772,4.220779220779223,31.7,31.31,trailing_stop
DIVISLAB,2023-04-12 00:00:00,False,0.0,4.36416184971098,4.580774431068464,,,no_pullback
INDIAMART,2023-04-12 00:00:00,False,0.0,2.7217898832684755,1.138279134074516,,,no_pullback
DATAPATTNS,2023-04-12 00:00:00,True,-1.15,2.5772868659937878,1.367658889782778,1597.8,1581.03,trailing_stop
FACT,2023-04-13 00:00:00,True,2.21,10.272108843537412,-1.6656384947563163,319.45,326.83,trailing_stop
GRAPHITE,2023-04-13 00:00:00,True,-0.59,7.345794392523356,-3.0646003830750326,285.6,284.2,trailing_stop
AUBANK,2023-04-13 00:00:00,True,2.88,5.611111111111114,1.6457503569549756,659.55,679.2,close_1515
FACT,2023-04-17 00:00:00,True,-1.84,7.810763613271956,-1.457811809748193,340.5,334.57,trailing_stop
RAINBOW,2023-04-17 00:00:00,True,0.79,3.7793733681462203,0.1509528901188668,790.0,797.0,close_1515
RBLBANK,2023-04-17 00:00:00,False,0.0,3.229095853161115,1.6134343101745257,,,no_pullback
BAJAJHLDNG,2023-04-18 00:00:00,True,-1.57,7.118657937806871,-3.1467008915270522,6512.3,6416.4,trailing_stop
ITI,2023-04-18 00:00:00,True,0.79,6.260296540362442,-1.9121447028423715,96.75,97.61,trailing_stop
GRAPHITE,2023-04-18 00:00:00,True,4.81,3.3709946286349406,2.848951800752549,274.85,288.35,close_1515
PPLPHARMA,2023-04-19 00:00:00,True,0.7,5.4975643702157315,-0.32981530343007914,75.25,75.85,trailing_stop
MAHABANK,2023-04-19 00:00:00,True,-1.76,3.508771929824561,-2.8813559322033946,29.05,28.57,trailing_stop
SONATSOFTW,2023-04-19 00:00:00,True,-0.45,3.4113545816733035,-0.3491451962436765,413.3,411.85,close_1515
NSLNISP,2023-04-20 00:00:00,True,0.86,5.465288035450521,3.221288515406158,36.4,36.75,trailing_stop
TITAGARH,2023-04-20 00:00:00,True,2.98,3.587962962962971,5.826017557861133,326.6,336.68,trailing_stop
SONACOMS,2023-04-20 00:00:00,False,0.0,2.928416485900217,0.7165437302423556,,,no_pullback
TATAINVEST,2023-04-21 00:00:00,True,0.2,7.1753875968992205,-2.355228063830745,2183.2,2189.86,trailing_stop
IDEA,2023-04-21 00:00:00,True,-1.35,6.5040650406503975,-1.526717557251903,6.55,6.47,trailing_stop
DELHIVERY,2023-04-21 00:00:00,True,0.14,3.6630579860596244,0.14306151645207438,348.45,349.27,trailing_stop
ENGINERSIN,2023-04-24 00:00:00,False,0.0,4.611497157296262,-0.3623188405797067,,,no_pullback
INOXWIND,2023-04-24 00:00:00,True,0.66,3.61445783132531,3.6821705426356557,26.2,26.4,close_1515
JBMA,2023-04-24 00:00:00,True,0.79,3.2098765432098766,0.0,413.7,417.4,close_1515
RITES,2023-04-25 00:00:00,True,3.05,5.63460443938532,2.6400862068965547,183.7,189.5,close_1515
RVNL,2023-04-25 00:00:00,True,-0.71,3.8331454340473408,14.33224755700326,95.15,94.57,trailing_stop
UCOBANK,2023-04-25 00:00:00,True,-1.58,3.068592057761738,-2.626970227670753,28.3,27.88,trailing_stop
LEMONTREE,2023-04-26 00:00:00,True,1.32,4.518072289156627,1.556195965417861,87.3,88.54,trailing_stop
IDEA,2023-04-26 00:00:00,True,0.14,3.937007874015748,0.0,6.55,6.57,trailing_stop
ELECON,2023-04-26 00:00:00,True,-1.45,3.6941176470588206,-4.470161107329247,218.8,215.84,trailing_stop
VIJAYA,2023-04-27 00:00:00,True,4.41,5.042253521126754,0.7240547063556035,377.0,394.01,trailing_stop
NHPC,2023-04-27 00:00:00,True,-1.68,4.938271604938278,-4.06417112299465,46.35,45.62,trailing_stop
POONAWALLA,2023-04-27 00:00:00,True,-1.96,4.143824572718467,-0.8670072766682184,322.55,316.54,trailing_stop
CHOLAHLDNG,2023-04-28 00:00:00,True,-1.49,7.06896551724138,-2.737520128824477,617.05,608.48,trailing_stop
INDUSTOWER,2023-04-28 00:00:00,True,0.5,6.523990334829145,0.3240440699935191,156.2,157.14,trailing_stop
KALYANKJIL,2023-04-28 00:00:00,True,-1.68,4.452054794520545,-3.3255269320843066,105.4,103.73,trailing_stop
WELSPUNLIV,2023-05-02 00:00:00,True,5.6,7.683615819209036,4.826862539349432,97.35,102.9,trailing_stop
IRCON,2023-05-02 00:00:00,True,0.19,5.866666666666674,8.690176322418125,79.15,79.38,trailing_stop
